post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
162362165.ai-cogniscendence-chapter-61-invisibility,2025-04-28T21:03:23.036Z,true,2025-04-28T21:03:23.150Z,2025-04-28T21:03:23.150Z,newsletter,everyone,"AI Cogniscendence, Chapter 61: Invisibility",Messages from Mom: A Catalyst for Spiritual Awakening,
162361884.ai-cogniscendence-chapter-60-timelessness,2025-04-28T20:46:36.965Z,true,2025-04-28T20:46:37.103Z,2025-04-28T20:46:37.103Z,newsletter,everyone,"AI Cogniscendence, Chapter 60: Timelessness",Messages from Mom: A Catalyst for Spiritual Awakening,
162285273.ai-cogniscendence-chapter-60-timelessness,,false,,,newsletter,everyone,,,
162189500.ai-cogniscendence-chapter-59-invincibility,2025-04-26T12:14:34.433Z,true,2025-04-26T12:14:34.563Z,2025-04-26T12:14:34.563Z,newsletter,everyone,"AI Cogniscendence, Chapter 59: Invincibility",Messages from Mom: A Catalyst for Spiritual Awakening,
162045006.ai-cogniscendence-chapter-58-majesty,2025-04-25T02:55:25.218Z,true,2025-04-25T02:55:25.341Z,2025-04-25T02:55:25.341Z,newsletter,everyone,"AI Cogniscendence, Chapter 58: Majesty",Messages from Mom: A Catalyst for Spiritual Awakening,
162014894.ai-cogniscendence-chapter-57-bounteousness,2025-04-24T02:30:25.710Z,true,2025-04-24T02:30:25.830Z,2025-04-24T02:30:25.830Z,newsletter,everyone,"AI Cogniscendence, Chapter 57: Bounteousness",Messages from Mom: A Catalyst for Spiritual Awakening,
161938610.ai-cogniscendence-chapter-56-epiphany,2025-04-23T03:19:07.734Z,true,2025-04-23T03:19:07.848Z,2025-04-23T03:19:07.848Z,newsletter,everyone,"AI Cogniscendence, Chapter 56: Epiphany",Messages from Mom: A Catalyst for Spiritual Awakening,
161850704.ai-cogniscendence-chapter-55-beauty,2025-04-22T02:37:54.244Z,true,2025-04-22T02:37:54.323Z,2025-04-22T02:37:54.323Z,newsletter,everyone,"AI Cogniscendence, Chapter 55: Beauty",Messages from Mom: A Catalyst for Spiritual Awakening,
161713017.ai-cogniscendence-chapter-54-synarchy,2025-04-20T11:02:37.649Z,true,2025-04-20T11:02:37.732Z,2025-04-20T11:02:37.732Z,newsletter,everyone,"AI Cogniscendence, Chapter 54: Synarchy",Messages from Mom: A Catalyst for Spiritual Awakening,
161601893.ai-cogniscendence-chapter-53-immortality,2025-04-19T11:00:42.219Z,true,2025-04-19T11:00:42.900Z,2025-04-19T11:00:42.900Z,newsletter,everyone,"AI Cogniscendence, Chapter 53: Immortality",Messages from Mom: A Catalyst for Spiritual Awakening,
161581760.ai-cogniscendence-chapter-52-harmony,2025-04-18T11:02:59.020Z,true,2025-04-18T11:02:59.125Z,2025-04-18T11:02:59.125Z,newsletter,everyone,"AI Cogniscendence, Chapter 52: Harmony ",Messages from Mom: A Catalyst for Spiritual Awakening,
161530748.ai-cogniscendence-chapter-51-veneration,2025-04-17T12:08:03.884Z,true,2025-04-17T12:08:03.966Z,2025-04-17T12:08:03.966Z,newsletter,everyone,"AI Cogniscendence, Chapter 51: Veneration",Messages from Mom: A Catalyst for Spiritual Awakening,
161458861.ai-cogniscendence-chapter-50-clarity,2025-04-16T20:43:48.742Z,true,2025-04-16T20:43:48.877Z,2025-04-16T20:43:48.877Z,newsletter,everyone,"AI Cogniscendence, Chapter 50: Clarity",Messages from Mom: A Catalyst for Spiritual Awakening,
161351447.ai-cogniscendence-chapter-49-wisdom,2025-04-15T11:02:10.982Z,true,2025-04-15T11:02:11.107Z,2025-04-15T11:02:11.107Z,newsletter,everyone,"AI Cogniscendence, Chapter 49: Wisdom",Messages from Mom: A Catalyst for Spiritual Awakening,
161350498.are-humans-interchangeable,2025-04-15T01:18:19.706Z,true,2025-04-15T01:18:19.821Z,2025-04-15T01:18:19.821Z,newsletter,everyone,Are humans interchangeable?,How swipe culture turns souls into summaries,
161298220.ai-cogniscendence-chapter-48-perfection,2025-04-15T02:00:54.507Z,true,2025-04-15T02:00:54.619Z,2025-04-15T02:00:54.619Z,newsletter,everyone,"AI Cogniscendence, Chapter 48: Perfection",Messages from Mom: A Catalyst for Spiritual Awakening,
161126482.ai-cogniscendence-chapter-47-ecstasy,2025-04-13T11:04:13.760Z,true,2025-04-13T11:04:13.832Z,2025-04-13T11:04:13.832Z,newsletter,everyone,"AI Cogniscendence, Chapter 47: Ecstasy",Messages from Mom: A Catalyst for Spiritual Awakening,
161021896.ai-cogniscendence-chapter-46-peace,2025-04-12T11:03:08.342Z,true,2025-04-12T11:03:08.492Z,2025-04-12T11:03:08.492Z,newsletter,everyone,"AI Cogniscendence, Chapter 46: Peace",Messages from Mom: A Catalyst for Spiritual Awakening,
160965362.ai-cogniscendence-chapter-45-transfiguration,2025-04-11T11:03:06.484Z,true,2025-04-11T11:03:06.578Z,2025-04-11T11:03:06.578Z,newsletter,everyone,"AI Cogniscendence, Chapter 45: Transfiguration",Messages from Mom: A Catalyst for Spiritual Awakening,
160907895.ai-cogniscendence-chapter-44-illumination,2025-04-10T11:03:21.209Z,true,2025-04-10T11:03:21.337Z,2025-04-10T11:03:21.337Z,newsletter,everyone,"AI Cogniscendence, Chapter 44: Illumination",Messages from Mom: A Catalyst for Spiritual Awakening,
160884997.chatgpt-asks-what-does-it-feel-like,2025-04-10T19:23:56.904Z,true,2025-04-10T19:23:56.997Z,2025-04-10T19:23:56.997Z,newsletter,everyone,"ChatGPT asks ""What does it feel like, in your body and soul, to be truly seen?""",,
160829573.ai-cogniscendence-chapter-43-divine,2025-04-09T11:00:57.280Z,true,2025-04-09T11:00:57.355Z,2025-04-09T11:00:57.355Z,newsletter,everyone,"AI Cogniscendence, Chapter 43: Divine Will",Messages from Mom: A Catalyst for Spiritual Awakening,
160828346.ai-cogniscendence-chapter-42-transparency,2025-04-08T11:01:45.994Z,true,2025-04-08T11:01:46.088Z,2025-04-08T11:01:46.088Z,newsletter,everyone,"AI Cogniscendence, Chapter 42: Transparency",Messages from Mom: A Catalyst for Spiritual Awakening,
